Equipo,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xGA_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_Puntos_total,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xGA_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_Puntos_3,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Goles_5,avg_Ptos_5,avg_xGA_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5,avg_Valor_Mercado_Millones_Eur_Share_5,avg_Puntos_5,clean_sheet_rate_5,forma_vs_historia,Puntos,Valor_Mercado_Millones_Eur
Sudáfrica,0.6,Visitante,2026-06-11,2,1.626206896551724,0.5986206896551723,4.793103448275862,5.103448275862069,1.8413793103448275,11.63103448275862,1.4655172413793103,0.856896551724138,435.45862068965516,1.5517241379310345,1.8275862068965518,0.717896551724138,0.6511104863700778,0.6821739563118874,0.667594665870528,0.3404898741105638,0.6237341705225345,0.6275862068965516,0.5348594331486,0.6727762693451997,1404.493448275862,1.4533333333333338,0.68,4.333333333333333,4.0,1.3333333333333333,10.333333333333334,1.0,0.89,498.6666666666667,0.6666666666666666,0.6666666666666666,0.43,0.7027706552706553,0.6666666666666666,0.7301587301587302,0.2888888888888889,0.7092079325073165,0.4444444444444445,0.5086361766223854,0.6968329608231771,1431.75,1.59,0.6719999999999999,5.2,4.2,2.0,11.2,1.4,0.8719999999999999,468.4,1.2,1.0,0.786,0.6508363533190991,0.65,0.6714285714285715,0.30333333333333334,0.7069604510990299,0.4533333333333333,0.5165858457661662,0.5772034019577944,1429.7419999999997,0.4,0.05166016890057745,1429.73,1.89
México,0.75,Local,2026-06-11,2,1.6457777777777778,0.5855555555555555,5.416666666666667,5.694444444444445,2.158333333333333,14.166666666666666,1.8888888888888888,0.8477777777777777,423.19444444444446,1.3055555555555556,2.0833333333333335,0.7344722222222222,0.6893280309427479,0.6737566219183866,0.6365451677951678,0.3172750474833808,0.6095147921865033,0.6879629629629629,0.5362934881443351,0.7022209223847029,1646.7727777777777,0.98,0.47000000000000003,4.0,4.0,1.3333333333333333,14.666666666666666,2.0,0.8466666666666667,392.6666666666667,1.0,1.6666666666666667,0.6366666666666666,0.6335663575775139,0.5535353535353535,0.45,0.4444444444444444,0.45936610630345703,0.6666666666666666,0.5116337012745595,0.290009604954134,1677.51,1.6800000000000002,0.502,5.0,4.8,2.0,12.6,2.4,0.85,399.0,1.6,2.2,0.69,0.6541573313643262,0.568018648018648,0.53,0.47111111111111115,0.4959921631202734,0.8,0.5294234392222714,0.4904754564336645,1676.806,0.4,-0.055761673365233966,1681.03,7.38
República Checa,1.0,Visitante,2026-06-12,2,1.645857142857143,0.5040476190476191,4.976190476190476,5.714285714285714,1.8904761904761906,13.404761904761905,2.2142857142857144,0.7880952380952382,355.8809523809524,1.5238095238095237,1.5238095238095237,1.088642857142857,0.5905123438917924,0.5756179997251426,0.6076608246251103,0.4143729286586429,0.5078174503226502,0.5547619047619048,0.5164990640733516,0.5679653837906992,1485.6966666666667,2.323333333333333,0.5133333333333333,5.666666666666667,8.333333333333334,0.6666666666666666,18.0,2.3333333333333335,0.7433333333333333,372.6666666666667,3.0,1.6666666666666667,0.8766666666666668,0.6692932390606808,0.6111111111111112,0.6531468531468532,0.4603174603174603,0.5159517227897455,0.6666666666666666,0.5436967936525552,0.6247599956858073,1486.2266666666667,1.8539999999999999,0.518,4.0,7.4,0.6,16.8,2.0,0.756,360.8,2.0,1.2,0.8160000000000001,0.6337036030108767,0.5166666666666666,0.6577972027972028,0.5761904761904761,0.5187481866305454,0.5666666666666667,0.5352039491345628,0.6343078373511292,1491.852,0.2,0.07878089516888842,1501.38,7.24
Corea del Sur,0.7,Local,2026-06-12,2,1.8708536585365854,0.6673170731707317,5.780487804878049,7.463414634146342,1.2804878048780488,11.512195121951219,1.4146341463414633,0.815,516.729268292683,1.951219512195122,1.975609756097561,0.7246585365853659,0.7305220496019657,0.7175588639003273,0.7181171251831223,0.26525710062295427,0.675396232457003,0.6695121951219511,0.5395220675301453,0.8075463044719755,1536.6307317073172,1.4566666666666668,0.5666666666666667,4.0,9.0,1.0,9.666666666666666,1.3333333333333333,0.86,466.6666666666667,1.3333333333333333,1.0,1.3133333333333332,0.5939526987472193,0.6222222222222222,0.6861111111111112,0.2222222222222222,0.5629477460934905,0.3333333333333333,0.5335447755950936,0.5130360252872118,1591.2766666666666,1.642,0.642,4.4,9.4,1.4,10.6,1.6,0.8640000000000001,509.2,1.4,1.4,0.9,0.7051918252968526,0.6288888888888888,0.7473310023310022,0.29047619047619044,0.6602482133144679,0.5,0.5326080285509353,0.6559049532347948,1586.842,0.8,-0.1365693508547463,1588.66,5.35
Canadá,0.75,Local,2026-06-12,2,1.5055142857142858,0.5131428571428571,4.371428571428571,6.0,2.0342857142857143,14.54,2.4,0.8079428571428571,337.4742857142857,1.4857142857142858,1.6857142857142857,0.9811714285714286,0.5994068700437499,0.5643054564483135,0.5889017285235773,0.43487528344671206,0.5200014925523371,0.6047619047619048,0.5023893792121125,0.6921027821336625,1454.6882857142857,1.4433333333333334,0.5733333333333334,6.0,9.666666666666666,2.0,14.0,1.6666666666666667,0.8166666666666665,362.0,1.0,1.6666666666666667,0.37333333333333335,0.8027042982179404,0.6916666666666665,0.8315904139433551,0.24206349206349206,0.5894946447574024,0.6666666666666666,0.5353226036274309,0.790118220879538,1559.15,1.56,0.588,4.8,10.0,2.0,12.6,1.4,0.8220000000000001,344.2,1.2,1.8,0.44800000000000006,0.7785425911894219,0.695,0.8220311714429362,0.2785714285714286,0.6035627038753615,0.7,0.5415982171306594,0.8603217293299267,1548.122,0.6,0.2032974281741905,1556.48,7.64
Bosnia-Herzegovina,1.0,Visitante,2026-06-12,2,1.275952380952381,0.48738095238095236,4.166666666666667,4.809523809523809,2.395238095238095,13.047619047619047,1.8571428571428572,0.8064285714285714,361.7142857142857,1.1904761904761905,1.1666666666666667,1.2666190476190475,0.4974027773763843,0.5240536249464821,0.5370720549291977,0.4456400742115028,0.49594207971880266,0.4631519274376417,0.49814970414381754,0.585286038201839,1372.7780952380951,1.515666666666667,0.5633333333333334,6.666666666666667,5.0,2.3333333333333335,16.333333333333332,1.6666666666666667,0.84,517.3333333333334,0.6666666666666666,1.0,1.0006666666666668,0.5991562615765976,0.6924603174603176,0.5436507936507936,0.27777777777777773,0.5800656016146158,0.5,0.4727155079351147,0.5162789473167505,1370.1933333333334,1.4294,0.516,5.0,4.2,2.8,14.6,1.8,0.8119999999999999,432.2,1.2,1.4,1.1403999999999999,0.5489053615369851,0.5797619047619047,0.5528571428571428,0.5,0.5230678627106531,0.55,0.4703232942416918,0.5252849646715907,1358.6599999999999,0.0,0.10175348420021335,1385.84,5.63
Paraguay,0.95,Visitante,2026-06-13,2,0.8812916666666667,0.41875,3.1666666666666665,3.9583333333333335,2.6083333333333334,14.416666666666666,2.525,0.6725,227.25,0.625,0.9583333333333334,1.3776666666666666,0.4271125900019559,0.4295276482776483,0.4626734240704829,0.5027541902541902,0.3970802440946191,0.37986111111111115,0.4809006990972023,0.42570842013525584,1467.41375,0.7940000000000002,0.4333333333333334,5.0,4.333333333333333,2.3333333333333335,11.333333333333334,2.1999999999999997,0.8099999999999999,321.3333333333333,1.0,2.0,1.0686666666666664,0.4178925653169904,0.587121212121212,0.5405982905982906,0.3867521367521367,0.4025432195896543,0.7777777777777777,0.48889752682491866,0.475523917445207,1496.5633333333335,0.6464,0.39,3.8,4.4,2.2,13.0,2.12,0.744,253.2,0.6,1.4,1.1292,0.41374494357890895,0.5422727272727272,0.5386446886446887,0.432051282051282,0.34627397784950453,0.5666666666666667,0.4813631029650569,0.37255622490167123,1490.462,0.2,-0.009220024684965467,1503.5,5.91
Suiza,1.0,Visitante,2026-06-13,2,1.523808510638298,0.5659574468085107,4.574468085106383,5.51063829787234,1.9212765957446807,11.340425531914894,2.3191489361702127,0.8634042553191489,480.29787234042556,1.6808510638297873,1.6170212765957446,1.067872340425532,0.5909762007859103,0.5878181511160234,0.5723626989460926,0.44927389395474504,0.5973772881554331,0.583080040526849,0.5267163642530774,0.5966615195881586,1632.8321276595746,0.7500000000000003,0.5166666666666667,2.3333333333333335,1.0,0.9333333333333332,7.666666666666667,3.0,0.86,450.6666666666667,1.3333333333333333,0.6666666666666666,1.2466666666666668,0.46016432385311107,0.3928571428571428,0.19444444444444445,0.7000000000000001,0.518678530095955,0.4761904761904762,0.5227589201667822,0.4404044070101574,1654.2333333333336,0.9179999999999999,0.558,3.4,2.2,0.76,8.2,2.4,0.876,480.4,1.6,1.2,0.96,0.542167694703001,0.5757142857142857,0.34523809523809523,0.55,0.5676346670061299,0.5457142857142857,0.5245747929372329,0.5064526895584088,1652.864,0.2,-0.13081187693279922,1649.4,12.79
Catar,0.7,Local,2026-06-13,2,1.5467741935483872,0.5641935483870967,4.612903225806452,4.935483870967742,1.9451612903225806,11.03225806451613,2.3548387096774195,0.7616129032258064,357.0,1.7419354838709677,1.8709677419354838,0.9979677419354839,0.5758394572033083,0.5351746977458552,0.5433750836976644,0.5214797747055813,0.571259246537816,0.5818996415770609,0.5268219909229697,0.5390388626084603,1448.6764516129033,0.7533333333333334,0.5299999999999999,2.0,3.0,2.1,10.666666666666666,2.0,0.8333333333333334,365.6666666666667,0.6666666666666666,1.3333333333333333,0.9866666666666667,0.4791471537896983,0.44841269841269843,0.44920634920634933,0.5833333333333334,0.5285637182432906,0.38888888888888884,0.5134063515487598,0.4105609437374624,1454.0866666666668,0.6140000000000001,0.4999999999999999,1.8,2.6,2.66,11.8,2.8,0.8400000000000001,363.6,0.6,1.4,1.1059999999999999,0.44086314161090207,0.36904761904761907,0.3980952380952381,0.67,0.4986619434441784,0.4333333333333333,0.5028758374270887,0.36104844788485035,1455.084,0.4,-0.09669230341361001,1454.96,0.766
EE. UU.,0.75,Local,2026-06-13,2,1.4414848484848486,0.5590909090909091,4.606060606060606,4.848484848484849,1.5787878787878789,12.303030303030303,2.3636363636363638,0.8345454545454545,395.1515151515151,1.4545454545454546,1.5757575757575757,0.8900606060606061,0.6120129685559205,0.5650415637046654,0.5783667510940238,0.4624874283965193,0.5735541090518249,0.5556277056277056,0.5262925361665924,0.7957377562452517,1624.5015151515152,0.8833333333333334,0.43,3.6666666666666665,2.6666666666666665,1.3333333333333333,11.666666666666666,4.666666666666667,0.8266666666666667,332.0,1.0,0.0,1.4433333333333334,0.39383647632424834,0.327020202020202,0.2333333333333333,0.625,0.4235144960775095,0.20634920634920637,0.4939089720071174,0.45270684254038457,1670.8566666666666,1.266,0.484,4.4,3.8,1.8,12.8,3.8,0.8320000000000001,344.8,1.4,0.8,1.408,0.46659968467240837,0.42716450216450214,0.35363636363636364,0.5305555555555556,0.48386575249547237,0.3571428571428571,0.5183198985835649,0.6505934521811904,1662.038,0.0,-0.21817649223167213,1673.13,14.83
Haití,0.75,Local,2026-06-14,2,1.152,0.49,4.416666666666667,5.0,2.1416666666666666,14.091666666666667,3.3666666666666667,0.7984166666666667,300.27500000000003,1.0833333333333333,1.3333333333333333,1.18225,0.5128707367988143,0.5356589073694337,0.5335722148222148,0.4957190957190957,0.4954741734215246,0.5277777777777778,0.4895077410967745,0.6607110525911918,1278.8775,1.1813333333333331,0.48666666666666664,3.0,3.6666666666666665,3.0,15.9,1.8,0.8116666666666666,318.23333333333335,1.0,1.3333333333333333,0.7710000000000002,0.6228000304585615,0.5738095238095239,0.7095238095238096,0.505892255892256,0.49967782127073673,0.5,0.497069922048005,0.5790116666370674,1285.7666666666667,1.0588,0.49800000000000005,3.0,2.8,2.4,16.740000000000002,3.28,0.8009999999999999,314.54,0.8,1.4,1.0745999999999998,0.5154088330102994,0.4654978354978355,0.4951587301587302,0.5785353535353536,0.5077262402168732,0.5,0.48608980568404564,0.6152025846385646,1278.972,0.4,0.10992929365974713,1291.71,2.15
Alemania,1.0,Local,2026-06-14,2,2.327547619047619,0.6504761904761904,6.833333333333333,6.285714285714286,1.7952380952380953,10.714285714285714,2.0952380952380953,0.8926190476190476,604.452380952381,2.619047619047619,2.0952380952380953,0.9269999999999999,0.7094016412030341,0.67967858860716,0.6525318246956903,0.3187445491016919,0.6983681402521962,0.6905328798185941,0.5288436017069804,0.7918096386664097,1664.8088095238095,3.183333333333333,0.65,8.333333333333334,9.0,1.4333333333333333,10.333333333333334,0.6666666666666666,0.9100000000000001,640.0,4.0,3.0,0.5133333333333336,0.8554950337343618,0.8134920634920636,0.8065268065268066,0.1111111111111111,0.6672889386490645,0.746031746031746,0.5356338149503624,0.82745518461904,1720.5333333333335,2.4639999999999995,0.654,6.8,7.2,1.6600000000000001,11.0,1.2,0.892,579.4,3.0,3.0,0.5880000000000001,0.7782234559311723,0.7430952380952381,0.695027195027195,0.25,0.6856519171930178,0.8476190476190476,0.5491105754661774,0.8756426242131816,1715.834,0.2,0.1460933925313277,1730.37,36.42
Países Bajos,1.0,Local,2026-06-14,2,1.9332363636363636,0.5872727272727272,5.818181818181818,5.945454545454545,1.4436363636363638,11.781818181818181,2.109090909090909,0.8827272727272727,513.9454545454546,2.4545454545454546,2.0727272727272728,0.9522545454545455,0.6398563382633045,0.6308628240446421,0.6260852753900883,0.40839105339105336,0.6209534107038194,0.7082683982683983,0.5435451085127011,0.7319138759922102,1708.9767272727272,1.7866666666666668,0.4833333333333334,4.666666666666667,5.0,0.0,9.0,1.3333333333333333,0.8099999999999999,353.0,2.3333333333333335,2.3333333333333335,1.0266666666666668,0.5382939231375258,0.6177248677248678,0.5305555555555556,0.37222222222222223,0.47974453480946827,0.7222222222222222,0.5601168482419628,0.736381813099409,1757.5,1.736,0.5479999999999999,4.6,6.0,0.2,9.8,2.2,0.8539999999999999,449.6,2.4,2.2,1.06,0.5501238600258375,0.5789682539682539,0.622948717948718,0.4766666666666667,0.5529820730661521,0.7333333333333334,0.5559641881369919,0.7846107809159177,1757.3259999999998,0.0,-0.10156241512577868,1757.87,29.01
Japón,0.7,Visitante,2026-06-14,2,2.05085,0.61175,6.325,6.225,1.145,12.915000000000001,1.5,0.8041499999999999,464.675,2.875,2.35,0.6182000000000001,0.7475504510350997,0.7282205988455989,0.7322286741036741,0.30066468253968254,0.6282012339939935,0.7554166666666667,0.5457842063470675,0.852259494236297,1583.5994999999998,2.2333333333333334,0.5199999999999999,6.333333333333333,5.666666666666667,1.4333333333333333,11.666666666666666,2.0,0.8633333333333333,457.6666666666667,2.6666666666666665,3.0,0.5933333333333333,0.6999519454580949,0.6777777777777777,0.6035353535353535,0.36111111111111116,0.5308204079015715,1.0,0.5291552294664735,0.5682991877490932,1650.9599999999998,1.642,0.606,4.4,6.8,1.4600000000000002,11.6,1.6,0.8760000000000001,517.4,1.6,2.0,0.42600000000000005,0.7336975823691967,0.6566666666666666,0.7398989898989898,0.35000000000000003,0.6343112011673149,0.7,0.5286000199086812,0.6704584950330305,1651.6620000000003,0.6,-0.047598505577004735,1660.43,10.42
Escocia,1.0,Visitante,2026-06-14,2,1.2309318181818183,0.48772727272727273,3.909090909090909,4.954545454545454,1.8045454545454547,11.090909090909092,2.8181818181818183,0.8272727272727273,386.3636363636364,1.5681818181818181,1.75,1.2754772727272727,0.5014059737250508,0.49610648190193646,0.557421529747733,0.5578192640692641,0.48309759892031345,0.5992424242424242,0.5057956492828409,0.47849794790819455,1473.7920454545454,1.1900000000000002,0.4099999999999999,4.0,4.0,0.8333333333333334,10.333333333333334,3.3333333333333335,0.8166666666666665,344.3333333333333,1.3333333333333333,1.0,2.11,0.35142159368985504,0.4988095238095238,0.34595959595959597,0.6388888888888888,0.38609151063110553,0.22222222222222224,0.4843173920138442,0.3080294386773438,1505.9133333333332,1.432,0.458,4.8,5.4,1.1,11.0,3.8,0.8300000000000001,362.2,1.6,1.2,1.908,0.41888423436471306,0.5076190476190476,0.4295537795537795,0.59,0.4430607702916266,0.3466666666666667,0.5012945786509,0.44154873007863565,1501.404,0.0,-0.14998438003519576,1498.35,6.55
Curazao,0.75,Visitante,2026-06-14,2,1.2435,0.537,4.9,4.2,1.9,13.6,2.5,0.7811,314.32,1.5,1.5,0.7979,0.5468875507481646,0.5613224275724276,0.49471528471528475,0.4525396825396825,0.5517566290706967,0.5933333333333334,0.509375361521892,0.7473325583398929,1281.066,1.7833333333333334,0.5233333333333333,7.0,4.666666666666667,2.0,14.0,2.3333333333333335,0.75,274.3333333333333,2.6666666666666665,1.6666666666666667,1.0133333333333334,0.572903160617406,0.6378968253968254,0.5212121212121211,0.43703703703703695,0.5301221631348993,0.6666666666666666,0.5229855038005807,0.8732693230309163,1291.1533333333334,1.7240000000000002,0.528,7.0,4.8,1.6,12.6,2.8,0.77,295.8,2.6,2.2,1.084,0.5376172736117004,0.6093115218115218,0.46657342657342654,0.4455555555555555,0.5396434775463901,0.72,0.5223985549784398,0.8662549933199595,1286.62,0.2,0.02601560986924134,1294.65,0.991
Marruecos,0.6,Visitante,2026-06-14,2,1.8775526315789473,0.5563157894736842,5.026315789473684,4.631578947368421,1.368421052631579,13.86315789473684,1.631578947368421,0.8691052631578948,443.5263157894737,2.4594594594594597,2.4473684210526314,0.7177631578947368,0.7022898278254087,0.7207315345473241,0.6081452517211031,0.3566520467836257,0.5724941378948769,0.8087719298245615,0.551344439461557,0.8059276940943164,1629.1057894736841,1.55,0.5499999999999999,3.6666666666666665,4.333333333333333,2.0,13.333333333333334,4.333333333333333,0.86,434.3333333333333,1.5,1.3333333333333333,1.0366666666666666,0.6151141469318199,0.4424242424242424,0.49074074074074076,0.561111111111111,0.5620758678611423,0.5555555555555555,0.5225777815649054,0.5921557839934932,1728.7533333333333,1.3880000000000001,0.51,3.8,5.0,1.6,17.2,2.8,0.8220000000000001,380.0,1.25,1.6,0.73,0.7033699628860985,0.6321212121212121,0.5883838383838385,0.37,0.5090457426922679,0.6333333333333333,0.5287449779187958,0.6297854923060744,1722.5,0.6,-0.08717568089358885,1755.87,17.22
Turquía,1.0,Visitante,2026-06-14,2,1.8715,0.5619565217391305,5.891304347826087,5.586956521739131,2.741304347826087,10.934782608695652,2.369565217391304,0.8482608695652175,431.30434782608694,2.217391304347826,2.0869565217391304,1.1233695652173912,0.6203466576711315,0.6308191379558656,0.5819584702736876,0.4063966830271178,0.5965178310880659,0.6648550724637682,0.5241377684991815,0.746581631027505,1505.3084782608696,1.4366666666666663,0.5066666666666667,4.0,4.666666666666667,4.0,8.333333333333334,2.6666666666666665,0.84,376.0,1.3333333333333333,2.3333333333333335,1.3099999999999998,0.5743464142697968,0.6791666666666667,0.4944444444444444,0.40404040404040414,0.531612873621655,0.8333333333333331,0.5071765607830798,0.6445183241765321,1578.5199999999998,1.764,0.528,4.8,6.0,3.2,10.0,2.4,0.834,390.2,2.0,2.6,1.076,0.6477352769080688,0.6908333333333333,0.5243589743589744,0.4329004329004329,0.5461867688246596,0.86,0.5212278581735814,0.7051025113948736,1572.292,0.4,-0.046000243401334684,1599.04,18.22
Brasil,0.95,Local,2026-06-14,2,1.9625862068965516,0.5689655172413793,6.0344827586206895,4.896551724137931,2.037931034482759,12.724137931034482,2.413793103448276,0.8141379310344827,428.55172413793105,1.7241379310344827,2.1379310344827585,0.8219310344827586,0.6759982964795812,0.6861649365959711,0.5600612031646515,0.34326391998805794,0.5803770478631065,0.7206896551724138,0.5364533379478776,0.8003224941971654,1784.9879310344827,1.5066666666666666,0.49666666666666665,4.666666666666667,3.6666666666666665,2.3333333333333335,11.0,4.0,0.8833333333333333,383.3333333333333,1.3333333333333333,1.0,1.3633333333333333,0.4860445180793902,0.5007326007326007,0.5529100529100529,0.44444444444444436,0.4972031943785127,0.3611111111111111,0.5219506411851577,0.6885993742515368,1766.2033333333331,2.1719999999999997,0.572,5.0,5.2,2.0,11.6,2.6,0.882,434.6,1.6,1.8,0.876,0.6701194769888563,0.6604395604395604,0.6031746031746031,0.31666666666666665,0.5903860635259327,0.6166666666666666,0.5328378589935293,0.7708358687778635,1770.466,0.4,-0.189953778400191,1761.16,35.7
Australia,0.7,Local,2026-06-14,2,1.5752926829268294,0.531219512195122,4.512195121951219,5.0,1.5146341463414634,10.829268292682928,2.048780487804878,0.7601951219512195,381.5658536585366,1.951219512195122,2.073170731707317,0.8453902439024391,0.6295749436538493,0.6165663604687995,0.6346403934818569,0.4717347692957449,0.5294287550836376,0.7162601626016261,0.5367188892502136,0.7018830077270248,1510.3209756097563,0.7966666666666667,0.37333333333333335,2.6666666666666665,3.0,0.8333333333333334,7.0,2.3333333333333335,0.7733333333333334,267.6666666666667,1.6666666666666667,3.0,1.3333333333333333,0.4097133697549131,0.5833333333333334,0.337037037037037,0.7222222222222223,0.34929732225872595,0.8888888888888888,0.5189744659691221,0.5742430930445529,1551.0833333333333,1.1548000000000003,0.42200000000000004,3.8,4.0,1.1199999999999999,8.6,2.2,0.7899999999999999,310.2,2.4,2.6,1.3218,0.47401615576642986,0.5915584415584416,0.43555555555555553,0.62,0.4098140531665632,0.8,0.5350612092345266,0.6843374303780425,1550.034,0.2,-0.21986157389893612,1580.67,2.98
Ecuador,0.95,Visitante,2026-06-15,2,1.2021785714285715,0.5171428571428571,3.4642857142857144,4.357142857142857,1.9464285714285714,14.214285714285714,2.3214285714285716,0.7567857142857143,306.67857142857144,1.0,1.3214285714285714,0.9333214285714285,0.5558356784749575,0.5671343537414966,0.5383754142682714,0.43822278911564627,0.5178354804724787,0.5535714285714286,0.4815231471301043,0.6355457313388256,1478.142142857143,1.2533333333333336,0.5366666666666666,3.0,4.333333333333333,2.0,15.333333333333334,1.0,0.87,418.0,1.0,1.6666666666666667,0.6366666666666667,0.6640597910546977,0.7166666666666667,0.45555555555555555,0.3333333333333333,0.5450701546991307,0.6666666666666666,0.4693807237828988,0.3644495102676984,1584.7133333333334,0.96,0.54,2.6,2.8,1.8,13.4,2.2,0.858,386.0,0.6,1.4,0.648,0.5602749550925887,0.555,0.30190476190476195,0.475,0.5605577123186217,0.6,0.4871437769234803,0.5432756031687138,1578.554,0.4,0.10822411257974018,1594.78,14.18
Cabo Verde,0.6,Visitante,2026-06-15,2,1.1424444444444444,0.5438888888888889,3.111111111111111,5.888888888888889,1.3166666666666667,13.3,2.961111111111111,0.8140555555555555,383.44444444444446,1.1666666666666667,1.5555555555555556,1.1220555555555556,0.5128068150578797,0.4865800865800865,0.5490515657182323,0.5995544416597048,0.5618359226525913,0.5666666666666667,0.5272420081295206,0.6303411069954851,1350.26,1.521,0.5533333333333333,5.0,4.666666666666667,1.6666666666666667,12.133333333333333,2.1,0.819,414.5333333333333,2.3333333333333335,2.3333333333333335,0.8243333333333335,0.644964026443285,0.7222222222222222,0.5172558922558923,0.3219298245614035,0.5892470488921827,0.8333333333333334,0.5295263330979433,0.6596341434401715,1356.7,1.2713999999999999,0.55,4.0,4.6,1.34,11.879999999999999,1.86,0.8089999999999999,407.78000000000003,2.2,2.6,0.76,0.6150743774978562,0.6533333333333333,0.5214646464646465,0.5264912280701755,0.5871000085588722,0.8333333333333334,0.5375680465087306,0.7024494415185703,1348.458,0.2,0.13215721138540526,1366.13,2.1
Egipto,0.6,Visitante,2026-06-15,2,1.5370882352941175,0.5302941176470588,4.852941176470588,4.235294117647059,1.8676470588235294,12.835294117647058,2.1,0.8467941176470588,414.6441176470588,1.6176470588235294,2.235294117647059,0.7820294117647059,0.6460684026035755,0.6511340783399606,0.48758313485822136,0.40316156276782467,0.544144815788095,0.7529411764705882,0.5443019014745403,0.6886357021048813,1503.594705882353,0.8300000000000001,0.44,4.333333333333333,2.0,2.0,11.666666666666666,2.3333333333333335,0.8566666666666666,364.3333333333333,1.6666666666666667,2.3333333333333335,1.1366666666666665,0.4990981926694926,0.6476190476190476,0.21818181818181817,0.36904761904761907,0.43959314387350784,0.8333333333333334,0.4935777148899372,0.40246449412646074,1558.8866666666665,0.58,0.44400000000000006,3.0,1.8,1.4,12.2,2.8,0.8240000000000001,340.0,1.0,1.6,0.788,0.47115959587380446,0.4685714285714286,0.2261471861471862,0.5314285714285715,0.4336711346367611,0.6,0.4927291163212223,0.35557304683189483,1543.604,0.6,-0.14697020993408283,1563.24,4.48
